Sample description: 
Sample:   c= 2.9 mg/ml  Code: LipH_dTMDdVD_Tris
Parent(s): analysis/processed/subtracted/LipH_dTMDdVD_Tris_0019_sub.dat
 8.652180e-001  4.055807e-003  9.204407e-005
 8.680020e-001  3.936945e-003  9.165410e-005
 8.707850e-001  3.976059e-003  9.131052e-005
 8.735690e-001  3.925545e-003  9.034469e-005
 8.763520e-001  3.798648e-003  9.104793e-005
 8.791360e-001  3.942655e-003  8.989283e-005
 8.819190e-001  3.741734e-003  8.933324e-005
 8.847030e-001  3.638469e-003  8.923176e-005
 8.874860e-001  3.650569e-003  8.867807e-005
 8.902700e-001  3.781772e-003  8.886066e-005
 8.930530e-001  3.788276e-003  8.813931e-005
 8.958370e-001  3.599107e-003  8.842414e-005
 8.986210e-001  3.575359e-003  8.780648e-005
 9.014040e-001  3.640703e-003  8.766000e-005
 9.041880e-001  3.531834e-003  8.828397e-005
 9.069710e-001  3.589290e-003  8.721062e-005
 9.097550e-001  3.498890e-003  8.794076e-005
 9.125380e-001  3.659776e-003  8.785455e-005
 9.153220e-001  3.450114e-003  8.706266e-005
 9.181050e-001  3.511466e-003  8.747128e-005
 9.208890e-001  3.557262e-003  8.780469e-005
 9.236720e-001  3.494497e-003  8.742224e-005
 9.264560e-001  3.512255e-003  8.654962e-005
 9.292390e-001  3.455476e-003  8.717117e-005
 9.320230e-001  3.346331e-003  8.909031e-005
 9.348070e-001  3.270034e-003  8.957476e-005
 9.375900e-001  3.247786e-003  8.995603e-005
 9.403740e-001  3.243948e-003  8.985814e-005
 9.431570e-001  3.104731e-003  9.047903e-005
 9.459410e-001  3.250993e-003  9.160800e-005
 9.487240e-001  3.125400e-003  9.144693e-005
 9.515080e-001  3.279317e-003  9.131066e-005
 9.542910e-001  3.084234e-003  9.195083e-005
 9.570750e-001  2.934997e-003  9.231452e-005
 9.598580e-001  3.077176e-003  9.239938e-005
 9.626420e-001  3.072366e-003  9.258928e-005
 9.654250e-001  3.269572e-003  9.324607e-005
 9.682090e-001  2.941221e-003  9.269131e-005
 9.709930e-001  3.098048e-003  9.372438e-005
 9.737760e-001  3.125400e-003  9.282924e-005
 9.765600e-001  2.856221e-003  9.356262e-005
 9.793430e-001  2.940093e-003  9.381172e-005
 9.821270e-001  3.006966e-003  9.420834e-005
 9.849100e-001  3.031276e-003  9.411117e-005
 9.876940e-001  2.871897e-003  9.350803e-005
 9.904770e-001  2.832910e-003  9.473010e-005
 9.932610e-001  2.742069e-003  9.399048e-005
 9.960440e-001  2.733793e-003  9.314997e-005
 9.988280e-001  2.956014e-003  9.162479e-005
 1.001610e+000  2.780514e-003  9.018631e-005
 1.004400e+000  2.874307e-003  9.029334e-005
 1.007180e+000  2.604014e-003  8.898114e-005
 1.009960e+000  2.719062e-003  8.867545e-005
 1.012750e+000  2.706472e-003  8.817034e-005
 1.015530e+000  2.640066e-003  8.793841e-005
 1.018310e+000  2.548745e-003  8.720655e-005
 1.021100e+000  2.624376e-003  8.660786e-005
 1.023880e+000  2.543145e-003  8.677297e-005
 1.026660e+000  2.687366e-003  8.616472e-005
 1.029450e+000  2.665366e-003  8.633331e-005
 1.032230e+000  2.422766e-003  8.526062e-005
 1.035010e+000  2.394979e-003  8.470059e-005
 1.037800e+000  2.622314e-003  8.554676e-005
 1.040580e+000  2.325000e-003  8.456838e-005
 1.043360e+000  2.553721e-003  8.467352e-005
 1.046150e+000  2.586759e-003  8.439966e-005
 1.048930e+000  2.512969e-003  8.416659e-005
 1.051720e+000  2.329917e-003  8.407179e-005
 1.054500e+000  2.367314e-003  8.319303e-005
 1.057280e+000  2.454355e-003  8.355917e-005
 1.060070e+000  2.445248e-003  8.309007e-005
 1.062850e+000  2.166286e-003  8.243824e-005
 1.065630e+000  2.529248e-003  8.341962e-005
 1.068420e+000  2.382907e-003  8.281534e-005
 1.071200e+000  2.483955e-003  8.305403e-005
 1.073980e+000  2.474097e-003  8.287838e-005
 1.076770e+000  2.181100e-003  8.144617e-005
 1.079550e+000  2.379597e-003  8.180879e-005
 1.082330e+000  2.271848e-003  8.126041e-005
 1.085120e+000  2.360503e-003  8.182234e-005
 1.087900e+000  2.305114e-003  8.149300e-005
 1.090680e+000  2.206341e-003  8.060669e-005
 1.093470e+000  2.262134e-003  8.084383e-005
 1.096250e+000  2.344552e-003  8.044448e-005
